Types,Mut_burden,log10BURDENpMB
cSCC,291,1.6857417386022637
cSCC,289,1.6827465923729041
cSCC,259,1.6351485136976083
cSCC,214,1.5522625229655471
cSCC,187,1.4936903561528554
cSCC,151,1.4008256969095259
cSCC,144,1.380211241711606
cSCC,143,1.3771847870814182
cSCC,139,1.3648635498704516
cSCC,127,1.3256524705723132
cSCC,111,1.2671717284030137
cSCC,95,1.1995723549052042
cSCC,90,1.1760912590556813
cSCC,68,1.0543576623225928
cSCC,62,1.0142404391146103
cSCC,27,0.6532125137753437
cSCC,14,0.36797678529459443
cSCC,11,0.2632414347745814
cSCC,9,0.17609125905568124
cSCC,8,0.12493873660829993
cSCC,8,0.12493873660829993
cSCC,8,0.12493873660829993
cSCC,7,0.06694678963061322
cSCC,6,0.0
cSCC,5,-0.0791812460476248
cSCC,5,-0.0791812460476248
cSCC,5,-0.0791812460476248
cSCC,5,-0.0791812460476248
cSCC,4,-0.17609125905568127
cSCC,4,-0.17609125905568127
cSCC,4,-0.17609125905568127
cSCC,4,-0.17609125905568127
cSCC,2,-0.47712125471966244
cSCC,2,-0.47712125471966244
cSCC,1,-0.7781512503836436
cSCC,1,-0.7781512503836436
OSA,15,0.3979400086720376
OSA,8,0.12493873660829993
OSA,7,0.06694678963061322
OSA,7,0.06694678963061322
OSA,6,0.0
OSA,5,-0.0791812460476248
OSA,4,-0.17609125905568127
OSA,4,-0.17609125905568127
OSA,4,-0.17609125905568127
OSA,3,-0.3010299956639812
OSA,3,-0.3010299956639812
OSA,3,-0.3010299956639812
OSA,3,-0.3010299956639812
OSA,3,-0.3010299956639812
OSA,3,-0.3010299956639812
OSA,2,-0.47712125471966244
OSA,2,-0.47712125471966244
OSA,2,-0.47712125471966244
OSA,1,-0.7781512503836436
OSA,1,-0.7781512503836436
OSA,1,-0.7781512503836436
OSA,1,-0.7781512503836436
OSA,1,-0.7781512503836436
OSA,1,-0.7781512503836436
OSA,1,-0.7781512503836436
CHOL,41,0.8346326063360918
CHOL,14,0.36797678529459443
CHOL,11,0.2632414347745814
CHOL,11,0.2632414347745814
CHOL,9,0.17609125905568124
